,Player,Age Enter,Max BPM,Age Peaked,Top 3 BPM Avg,College,Draft Pick,Round,Round Bin,Country,League,League Diff,Player Tier,Met Draft Expt
0,Pat Spencer,28,-1.6,28,-1.6,Northwestern,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
1,Jeremy Evans,23,4.2,27,1.9666666666666668,Western Kentucky,55,2nd,45-60,USA,Other D1,7,Role Player,Met
2,Cam Spencer,24,0.5,24,0.5,Connecticut,53,2nd,45-60,USA,Top D1,2,Role Player,Met
3,Marcus Bagley,23,-4.3,23,-4.3,Arizona State,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
4,Julian Washburn,27,-4.6,27,-4.6,Texas-El Paso,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
5,Drew Timme,24,-6.7,24,-6.7,Gonzaga,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
6,Oscar Tshiebwe,25,-1.4,25,-1.4,Kentucky,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
7,Cameron Reynolds,23,-2.5,23,-2.5,Tulane,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
8,Udonis Haslem,23,0.4,24,-0.6,Florida,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
9,Henry Sims,23,-2.2,23,-3.1,Georgetown,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
10,Anthony Bennett,20,-1.4,23,-4.233333333333333,UNLV,1,1st,1-14,USA,Other D1,7,Benchwarmer,Bust
11,Isaiah Wong,24,-4.0,24,-4.0,Miami,55,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
12,Dru Smith,27,2.1,27,2.1,Missouri,0,Undrafted,Undrafted,USA,Top D1,2,Good Starter,Exceeded
13,Onuralp Bitim,24,-7.4,24,-7.4,Bursaspor,0,Undrafted,Undrafted,Turkey,Super Ligi,5,Benchwarmer,Met
14,Jamil Wilson,27,0.2,27,0.2,Marquette,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
15,Josh Minott,22,2.2,22,2.2,Memphis,45,2nd,45-60,USA,Top D1,2,Good Starter,Exceeded
16,Bryce Dejean-Jones,23,-2.5,23,-2.5,Iowa State,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
