Player,MP
A.J. Green,2618.0
A.J. Lawson,797.0
AJ Griffin,1401.0
AJ Johnson,639.0
Aaron Gordon,9559.0
Aaron Holiday,5103.0
Aaron Nesmith,6177.0
Aaron Wiggins,5478.0
Abdel Nader,355.0
Adem Bona,905.0
Admiral Schofield,920.0
Ajay Mitchell,597.0
Al Horford,8108.0
Al-Farouq Aminu,434.0
Alec Burks,6770.0
Aleksej Pokusevski,3429.0
Alex Caruso,7019.0
Alex Len,2423.0
Alex Sarr,1814.0
Alfonzo McKinnie,258.0
Alperen Şengün,8101.0
Amen Thompson,3613.0
Amir Coffey,5794.0
Andre Drummond,5630.0
Andre Iguodala,1942.0
Andre Jackson Jr.,1552.0
Andrew Nembhard,5651.0
Andrew Wiggins,9645.0
Anfernee Simons,8830.0
Anthony Black,3051.0
Anthony Davis,8876.0
Anthony Edwards,13263.0
Anthony Gill,1950.0
Anthony Lamb,1610.0
Antonio Reeves,660.0
Armoni Brooks,1364.0
Aron Baynes,980.0
Ashton Hagans,316.0
Ausar Thompson,2911.0
Austin Reaves,8440.0
Austin Rivers,3341.0
Avery Bradley,2008.0
Ayo Dosunmu,7814.0
Bam Adebayo,11656.0
Baylor Scheierman,384.0
Ben McLemore,2190.0
Ben Sheppard,2042.0
Ben Simmons,4461.0
Bennedict Mathurin,5909.0
Bilal Coulibaly,3663.0
Bismack Biyombo,4048.0
Blake Griffin,2713.0
Blake Wesley,2228.0
Boban Marjanović,271.0
Bobby Portis,8470.0
Bogdan Bogdanović,8410.0
Bojan Bogdanović,7718.0
Bol Bol,2422.0
Bones Hyland,2935.0
Brad Wanamaker,1373.0
Bradley Beal,8728.0
Brandin Podziemski,3684.0
Brandon Boston Jr.,2098.0
Brandon Clarke,4958.0
Brandon Goodwin,1122.0
Brandon Ingram,8198.0
Brandon Miller,3307.0
Brandon Williams,1127.0
Brice Sensabaugh,2016.0
Brodric Thomas,399.0
Brook Lopez,9530.0
Bruce Brown,8293.0
Bruno Fernando,1087.0
Bryce McGowens,1669.0
Bryn Forbes,2908.0
Bub Carrington,2458.0
Buddy Hield,11437.0
CJ Elleby,1174.0
CJ McCollum,10385.0
Cade Cunningham,7014.0
Caleb Houstan,2415.0
Caleb Martin,7241.0
Cam Reddish,4325.0
Cam Spencer,252.0
Cam Thomas,4980.0
Cam Whitmore,1707.0
Cameron Johnson,7765.0
Cameron Payne,5719.0
Caris LeVert,9058.0
Carmelo Anthony,3483.0
Carsen Edwards,276.0
Cason Wallace,3568.0
Cedi Osman,5789.0
Chandler Hutchison,346.0
Charles Bassey,884.0
Chasson Randle,837.0
Chet Holmgren,3290.0
Chimezie Metu,3315.0
