Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,James Harden,26,HOU,SG,82,82,3125,25.3,0.598,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,10.7,2.6,13.3,0.204,6.4,0.2,6.6,6.8,"MVP-9,AS"
2,Gordon Hayward,25,UTA,SF,80,80,2893,18.3,0.559,0.341,0.397,2.5,13.5,8,18.2,1.7,0.8,12.5,25.7,5.5,3.4,8.9,0.147,2.4,0.2,2.6,3.3,
3,Kemba Walker,25,CHO,PG,81,81,2885,20.8,0.554,0.368,0.329,2.1,11.5,6.8,25.7,2.2,1.1,10.1,26.5,6.3,3.6,9.9,0.164,3.5,0.5,4,4.3,
4,Trevor Ariza,30,HOU,SF,81,81,2859,12.9,0.551,0.581,0.187,2.6,11.6,7.1,10,2.8,0.8,10.8,15.7,3.1,2.3,5.4,0.09,0.1,0.3,0.4,1.7,DPOY-13
5,Marcus Morris,26,DET,SF,80,80,2856,12.7,0.531,0.315,0.287,3.3,12.4,7.7,11,1.2,0.6,11.6,18.4,2.9,2.5,5.4,0.091,-0.3,0.1,-0.2,1.3,
6,Khris Middleton,24,MIL,SG,79,79,2852,16.8,0.56,0.316,0.273,1.8,10.2,6,18.9,2.3,0.6,12.3,23,4.3,1.8,6.1,0.103,1.2,-0.5,0.6,1.9,
7,Kyle Lowry,29,TOR,PG,77,77,2851,22.2,0.578,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1,13.7,26.1,8,3.7,11.6,0.196,4.7,1.1,5.8,5.7,"MVP-10,DPOY-13,AS,NBA3"
8,Andrew Wiggins,20,MIN,SF,81,81,2845,16.5,0.543,0.147,0.437,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,3.4,0.7,4.1,0.069,0.9,-2.2,-1.3,0.5,
9,Giannis Antetokounmpo,21,MIL,PG,80,79,2823,18.8,0.566,0.108,0.404,4.6,20,12.4,20,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9,
10,Paul George,25,IND,SF,81,81,2819,20.9,0.557,0.391,0.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,4.4,4.8,9.2,0.157,3.7,1.2,4.9,4.9,"AS,NBA3,DEF2"
11,Draymond Green,25,GSW,PF,81,81,2808,19.3,0.587,0.315,0.402,5.5,23,14.7,29,2,3,21.2,18.8,6,5.1,11.1,0.19,2.6,2.9,5.5,5.3,"MVP-7,DPOY-2,AS,NBA2,DEF1"
